pmid;page;filename_orig;mesh_broad_label;tableType
10438259;2;10438259_2.html;Myocardial Ischemia;result_table_subgroup
10789664;1;10789664_1.html;Heart Failure;NA
10789664;1;10789664_1.html;Myocardial Ischemia, acute;NA
10789664;1;10789664_1.html;Hypertension;NA
10789664;1;10789664_1.html;Hyperlipidemias;NA
10789664;1;10789664_1.html;Diabetes Mellitus;NA
10789664;1;10789664_1.html;Myocardial Ischemia;NA
11419425;2;11419425_2.html;Myocardial Ischemia, chronic;NA
11419425;2;11419425_2.html;Myocardial Ischemia;NA
11442551;2;11442551_2.html;Myocardial Ischemia, acute;result_table_subgroup
11442551;2;11442551_2.html;Myocardial Ischemia;result_table_subgroup
11527638;1;11527638_1.html;Heart Failure;NA
12205648;2;12205648_2.html;Dementia;result_table_subgroup
12456232;2;12456232_2.html;Myocardial Ischemia;result_table_subgroup
12456232;3;12456232_3.html;Myocardial Ischemia;result_table_subgroup
12456232;2;12456232v2_2.html;Myocardial Ischemia;result_table_subgroup
12456232;3;12456232v2_3.html;Myocardial Ischemia;result_table_subgroup
12601075;2;12601075_2.html;Embolism and Thrombosis;result_table_subgroup
12601075;2;12601075_2.html;Peripheral Vascular Diseases;result_table_subgroup
12601075;2;12601075v2_2.html;Embolism and Thrombosis;result_table_subgroup
12601075;2;12601075v2_2.html;Peripheral Vascular Diseases;result_table_subgroup
12601075;2;12601075v3_2.html;Embolism and Thrombosis;result_table_subgroup
12601075;2;12601075v3_2.html;Peripheral Vascular Diseases;result_table_subgroup
12803733;2;12803733_2.html;Diabetes Mellitus, Type 2;result_table_subgroup
12803733;3;12803733_3.html;Diabetes Mellitus, Type 2;result_table_subgroup
12803733;4;12803733_4.html;Diabetes Mellitus, Type 2;result_table_subgroup
12803733;5;12803733_5.html;Diabetes Mellitus, Type 2;result_table_subgroup
12899584;2;12899584_2.html;Hypertension;result_table_subgroup
14657064;2;14657064_2.html;Myocardial Ischemia;result_table_subgroup
14657064;2;14657064_2.html;Hypertension;result_table_subgroup
14724302;2;14724302_2.html;Myocardial Ischemia, acute;result_table_subgroup
14724302;2;14724302_2.html;Myocardial Ischemia, chronic;result_table_subgroup
14724302;2;14724302_2.html;Myocardial Ischemia;result_table_subgroup
14724302;2;14724302v2_2.html;Myocardial Ischemia, acute;result_table_subgroup
14724302;2;14724302v2_2.html;Myocardial Ischemia, chronic;result_table_subgroup
14724302;2;14724302v2_2.html;Myocardial Ischemia;result_table_subgroup
14724302;2;14724302v3_2.html;Myocardial Ischemia, acute;result_table_subgroup
14724302;2;14724302v3_2.html;Myocardial Ischemia, chronic;result_table_subgroup
14724302;2;14724302v3_2.html;Myocardial Ischemia;result_table_subgroup
14996776;1;14996776_1.html;Atherosclerosis;NA
15028365;1;15028365_1.html;Hypertension;result_table_subgroup
15028365;2;15028365_2.html;Hypertension;NA
15049402;2;15049402_2.html;Rhinitis;result_table_subgroup
15337732;2;15337732_2.html;Myocardial Ischemia, acute;result_table_subgroup
15337732;2;15337732v2_2.html;Myocardial Ischemia, acute;result_table_subgroup
15381674;1;15381674_1.html;Myocardial Ischemia;NA
15381674;1;15381674_1.html;Hypertension;NA
15381674;2;15381674_2.html;Myocardial Ischemia;result_table_subgroup
15381674;2;15381674_2.html;Hypertension;result_table_subgroup
15451146;2;15451146_2.html;Myocardial Ischemia, acute;result_table_subgroup
15451146;2;15451146v2_2.html;Myocardial Ischemia, acute;result_table_subgroup
15537681;1;15537681_1.html;Atherosclerosis;NA
15537681;2;15537681_2.html;Atherosclerosis;NA
15590586;2;15590586_2.html;Myocardial Ischemia, acute;result_table_subgroup
15590586;2;15590586_2.html;Myocardial Ischemia;result_table_subgroup
15590586;3;15590586_3.html;Myocardial Ischemia, acute;result_table_subgroup
15590586;3;15590586_3.html;Myocardial Ischemia;result_table_subgroup
15590586;4;15590586_4.html;Myocardial Ischemia, acute;result_table_subgroup
15590586;4;15590586_4.html;Myocardial Ischemia;result_table_subgroup
15639688;2;15639688_2.html;Hyperlipidemias;NA
15659722;1;15659722_1.html;Heart Failure;result_table_subgroup
15659722;2;15659722_2.html;Heart Failure;result_table_subgroup
15753114;2;15753114_2.html;Myocardial Ischemia, acute;result_table_subgroup
15753114;2;15753114_2.html;Myocardial Ischemia;result_table_subgroup
15758000;2;15758000_2.html;Myocardial Ischemia, acute;result_table_subgroup
15781429;2;15781429_2.html;Hyperlipidemias;result_table_subgroup
15851647;2;15851647_2.html;Heart Failure;result_table_subgroup
15851647;2;15851647_2.html;Myocardial Ischemia, acute;result_table_subgroup
15851647;2;15851647_2.html;Hypertension;result_table_subgroup
15851647;2;15851647_2.html;Hyperlipidemias;result_table_subgroup
15851647;2;15851647_2.html;Diabetes Mellitus;result_table_subgroup
15851647;2;15851647_2.html;Myocardial Ischemia;result_table_subgroup
15851647;3;15851647_3.html;Heart Failure;result_table_subgroup
15851647;3;15851647_3.html;Myocardial Ischemia, acute;result_table_subgroup
15851647;3;15851647_3.html;Hypertension;result_table_subgroup
15851647;3;15851647_3.html;Hyperlipidemias;result_table_subgroup
15851647;3;15851647_3.html;Diabetes Mellitus;result_table_subgroup
15851647;3;15851647_3.html;Myocardial Ischemia;result_table_subgroup
15883637;1;15883637_1.html;Osteoporosis;result_table_subgroup
15883637;2;15883637_2.html;Osteoporosis;result_table_subgroup
15924587;2;15924587_2.html;Hyperlipidemias;result_table_subgroup
15924587;2;15924587_2.html;Myocardial Ischemia;result_table_subgroup
15998890;2;15998890_2.html;Myocardial Ischemia, acute;result_table_subgroup
15998890;2;15998890_2.html;Myocardial Ischemia;result_table_subgroup
15998891;2;15998891_2.html;Myocardial Ischemia, acute;result_table_subgroup
